@RELATION AVRO
@ATTRIBUTE Version Numeric 
@ATTRIBUTE FileName String 
@ATTRIBUTE Size Numeric 
@ATTRIBUTE NR Numeric 
@ATTRIBUTE LOC_TOUCH Numeric 
@ATTRIBUTE LOC_ADD Numeric 
@ATTRIBUTE MAX_LOC_ADD Numeric 
@ATTRIBUTE Churn Numeric 
@ATTRIBUTE MAX_Churn Numeric 
@ATTRIBUTE AVG_LOC_ADDED Numeric 
@ATTRIBUTE AVG_CHURN Numeric 
@ATTRIBUTE Buggy {0,1} 

@DATA 
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificDatumWriter.java,36,6,142,95,95,112,95,15.833333,18.666666,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificExceptionBase.java,40,1,40,40,40,40,40,40.0,40.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificFixed.java,28,1,28,28,28,28,28,28.0,28.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificRecord.java,28,4,92,60,60,58,60,15.0,14.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificRecordBase.java,64,1,64,64,64,64,64,64.0,64.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificRequestor.java,56,4,168,115,115,133,115,28.75,33.25,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificResponder.java,41,4,142,96,96,104,96,24.0,26.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\util\Utf8.java,80,3,240,160,160,160,160,53.333332,53.333332,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,78,1,78,78,78,78,78,78.0,78.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\io\TestBlockingIO.java,467,3,474,474,474,515,474,158.0,171.66667,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\io\TestParsingTable.java,222,2,222,222,222,239,222,111.0,119.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\io\TestResolvingIO.java,360,2,360,360,360,377,360,180.0,188.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\io\TestResolvingTable.java,406,2,406,406,406,423,406,203.0,211.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\io\TestValidatingIO.java,647,2,647,647,647,664,647,323.5,332.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\RandomData.java,138,8,409,281,281,367,281,35.125,45.875,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\test\TestInvocationReporter.java,35,1,35,35,35,35,35,35.0,35.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\test\TestOutputInterceptor.java,39,1,39,39,39,39,39,39.0,39.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\test\java\org\apache\avro\test\TestSuiteInterceptor.java,39,1,39,39,39,39,39,39.0,39.0,1
