DATASET;%TRAININGDATA;%DEFECTTRAIN;%DEFECTTEST;CLASSIFIER;TP;FP;TN;FN;PRECISION;RECALL;ROC;KAPPA
AVRO RUN ;0.842718928;0.037680306;0.038095238;Random Forest;12;0;303;0;1;1;1;1.00000
AVRO RUN ;0.842718928;0.037680306;0.038095238;IBK;11;0;303;1;1;0.916666667;0.96919692;0.95488
AVRO RUN ;0.842718928;0.037680306;0.038095238;CostSensitiveLearning RandomForest;2;0;303;10;1;0.166666667;0.997524752;0.27785
AVRO RUN ;0.842718928;0.037680306;0.038095238;CostSensitiveThreshold RandomForest;4;0;303;8;1;0.333333333;0.666666667;0.49029
AVRO RUN ;0.842718928;0.037680306;0.038095238;CostSensitiveLearning IBK;11;0;303;1;1;0.916666667;0.96919692;0.95488
AVRO RUN ;0.842718928;0.037680306;0.038095238;CostSensitiveThreshold IBK;11;0;303;1;1;0.916666667;0.958333333;0.95488
AVRO UNDERSAMPLED RUN ;0.004217316;0.352941176;0.642857143;NaiveBayes;1;0;5;8;1;0.111111111;0.533333333;0.08197
AVRO UNDERSAMPLED RUN ;0.004217316;0.352941176;0.642857143;CostSensitiveLearning NaiveBayes;1;0;5;8;1;0.111111111;0.533333333;0.08197
AVRO UNDERSAMPLED RUN ;0.004217316;0.352941176;0.642857143;CostSensitiveThreshold NaiveBayes;1;0;5;8;1;0.111111111;0.555555556;0.08197
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;Random Forest;4;0;5;5;1;0.444444444;0.855555556;0.36364
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;NaiveBayes;2;0;5;7;1;0.222222222;0.588888889;0.16949
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;IBK;3;0;5;6;1;0.333333333;0.655555556;0.26316
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;CostSensitiveLearning RandomForest;1;0;5;8;1;0.111111111;0.911111111;0.08197
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;CostSensitiveLearning NaiveBayes;2;0;5;7;1;0.222222222;0.588888889;0.16949
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;CostSensitiveThreshold NaiveBayes;2;0;5;7;1;0.222222222;0.611111111;0.16949
AVRO UNDERSAMPLED RUN ;0.007690399;0.483870968;0.642857143;CostSensitiveLearning IBK;3;0;5;6;1;0.333333333;0.655555556;0.26316
